Комментарии,Эмоциональная окраска
"Что понравилось: *** 1. Действительно классный и удобный дизайн, в чем то даже превосходящий прямого конкурента от Google. Все работает очень плавно и красиво. 2. Очень много контента разбитого по тематикам в удобном меню. Наличие радио, телевидения, подкастов. *** Что не понравилось: *** Абсолютно пророссийские и безальтернативные новостные источники в виде Киселева, Соловьева и тд.",Нейтральная
Best,Мусор
Территориальные ограничения тянус на минус 5. Т.е. с Беларусью мы уже не дружим...,Нейтральная
видео и приложение Постоянно зависает смотреть невозможно. удаляю. и персонал весь удалите. чините годовые баги они делайте новые псевдофичи,Негативная
"Удивительный плеер. Особенно на сайтах. Я будто бы возвращаюсь в 2007. Возможности вывести на экран тв с сайта - нет. Обязательно качайте. Смотрите на ТВ. Удаляйте. Снова качайте, когда хочется посмотреть видео с плеера на ТВ....",Негативная
Приложение топ заменяет ютуб,Позитивная
"Отвратительно работает приложение на смарт тв. За 3 минуты просмотра 3 раза вылетит с надписью ""видео недоступно"".",Негативная
Здравствуйте пожалуйста добавьте кнопку чтобы можно было удалить лишнее видео на своём канале пожалуйста добавьте котомку удалить видео,Негативная
"Нет синхронизации истории просмотра и момента, где остановилось видео с сайта и в приложении. Не удобно, как в приложении, так и на сайте, вообще искать истории просмотров.",Негативная
"Всë что есть на YouTube, здесь нету от слово совсем Га*но грубо говорю",Негативная
"Я только начал пользоваться. Потому,что не доверяю Америке.",Нейтральная
"В целом всё устраивает, но 1) было бы славно видеть количество просмотров под видео; 2) ветки комментариев тоже; 3) у меня постоянно подвисает видео, что очень раздражает. Каждый раз, когда качество видео меняется из-за нестабильного интернета, видео останавливается, а звук идёт. Проблема решается перемоткой видео.",Негативная
Супер! Быстрое приложение. Есть минус нельзя ставить дизлайк.,Позитивная
"Замечательное интервью! Так хорошо на душе от того, что есть близкие по духу люди, такие как Александр, Вячеслав....",Позитивная
лютовиснущая коричневая масса. за пару дней зависло и вылетело раз ...цать. если дорого время и нервы ни в коем случае не ставьте. просмотр часовой передачи растягивается на полтора-два (вылеты и зависания раз в 3-7 минут) Лютое ГМО,Негативная
"Ну и дермище же у вас а не приложение, для любителей пропаганды самое то, независимого мнения не найдешь, за то Соловьёва куча.",Негативная
Уважаемые разработчики мне всё понравилось в рутуб благодарю фоновый режим есть бесплатно воспроизвести видео в окне есть скачать видео без проблем красавчики вы огромное спасибо,Позитивная
ну а что еще можно было ожидать,Негативная
Нереально всратое приложение,Негативная
"После повторного ознакомления понравилось -дозревает, ещё можно регуляторы на экран...",Нейтральная
пока все хорошо так держать,Позитивная
Интерфейс анфрендли. Пишите дальше. Пока плохо,Негативная
"Добавьте в приложение возможность ответа на чужие комментарии - хочется общаться под видео; добавьте возможность отказа от рекомендованного видео по разным причинам - не нравится, неуместно, и тп. На ""реки"" могу только пожаловаться. Добавьте авторам каналов возможность создавать сообщения для всех подписчиков, таким образом многие проводят опросы своих аудиторий и обмен мнениями. в целом приложение работает стабильно, полная версия хостинга на компе часто подвисает",Негативная
"Хоспаде, мануал достоин Оскара . Канал 1Gb , кеш чистил до дыр в приставке. VPN с Rutube запускают только идиоты . Ещё варианты ?",Негативная
здорово виснет и вылетает,Негативная
"Соглашусь с отзывом ниже. Не хватает тестеров. 1. Добавьте разрешение 144, тогда ваши видео будут грузиться у пользователей с плохим инетом и прибавится аудитория. 2. Уменьшение скорости видео до 0,25 не увеличивает время между загрузками видео в 4 раза. По мне лучше при первой загрузке видео сделать анализ скорости передачи видео пользователю. И подгрузить объём наперёд, а потом потихоньку тратить подгруженное, попутно догружая видео. UPD. Обновление пофиксило п.2. :) Жду п.1 и с меня 5 звёзд.",Негативная
Запоминание паузы сделали. Рутуб развивается ). Только аккаунт часто слетает.,Негативная
"Что бы активировать на смарт тв надо сделать скан по QR коду и ввсети код с телевизора, он отправляет в приложение на телефоне и о чудо, НИ ЧЕ ГО , нет ни строки куда вводить код , нет функции в самом приложении войти на других устройствах, в брузере вводишь линк activate, тоже кидает в приложение на телефоне и тоже нет пути куда же ввести этот код. На ровном месте проблемы",Негативная
"Нужно поддерживать своих! Желаю развивать и делать удобнее для пользователя и авторов, работы много.",Позитивная
"Что за бред у вас с перемоткой,скока лет дуплитесь ,не умеете чтоли????",Негативная
Очень насыщенное приложение RUTUBE,Позитивная
"Приложение очень удобное. Можно смотреть, можно просто слушать, можно параллельно сидеть в интернете и слушать/смотреть. Регистрация супер быстрая. Лично у меня никаких проблем не вознимало ни на телефоне, ни на пк. Единственная проблема - это контент, его пока катастрофически мало. Нужно сделать что-то, для привлечения аудитории. Надеюсь люди в скором времени подтянутся. + деньги - всегда хорошая мотивация. Удачи вам, ребята!",Позитивная
"На ТВ BOX видео постоянно тормозит, работает без лагов 10 мин максимум,пишет ошибку -данное видео недоступно. Приносим свои извинения. смотреть невозможно!!! ????",Негативная
"Самое стабильно плохое приложение на, смарт тв, за все годы использования таких тв, ничего подобного не встречал. Сначала подтормаживает, потом данное видео не доступно (попробовать позже), и продолжить (смотреть с начала). Это происходит каждые 2-3 минуты",Негативная
"Сырое. Не доделанное. Зависливое, как говорится в рекламе Мегафона. 1. При нагрузке ваш сервер виснет и не может справится с выдачей скорости трафика, в общем если много народа использует приложение – смотреть невозможно, через каждые несколько секунд приходится ждать, пока прогрузится видео. 2. Неудобная система поиска, нет голосового. (Посмотрите, как сделано в YouTube) 3. Неудобная полоса прокрутки видео в приложении на телевизоре. (Посмотрите, как сделано в YouTube)",Негативная
"Добавьте пожалуйста возможность делать цитаты и упоминания в комментариях к ролику , как это в ютуб и других площадках сделано. + нужна общая статистика просмотров и количества комментов",Негативная
Лебедева выгнали с ютуба привет рутуб,Нейтральная
Вылетает на телеке lg постоянно и потом фиг докажешь что не робот,Негативная
Приложение отстой,Негативная
"очень странные значки поддержки эмоджи. программа имеет свои недочёты но и будущее тоже имеет. доводите всё до ума, мы будем держать за вас кулочки)",Негативная
Крутое приложения,Позитивная
Всё завязано на зарабатывании бабла и проталкивания тупой рекламы. За Державу обидно!,Негативная
Сделайте ветки в комментариях. Получается каша. Что в этом сложного,Негативная
Но нет русские субтитры,Негативная
шоу отличные.смотреть невозможнопотому чтосильно зависает и припинается,Негативная
По какой-то причине некоторые видео не воспроизводяться когда подключён ПК к вай-фай. Стоит отключить вай-фай и пользоваться мобильным интернетом сразу всё воспроизводиться! С чем это связано?,Негативная
Миллион подписчиков за возвращение Импровизации? Может вам ещё сплясать?!,Негативная
"Здравствуйте. Не приходят оповещения о новых видео, хотя колокол нажат. Ни в контекстном меню, ни в почту. Полгода назад всё приходило, сейчас нет. Poco X3 Pro",Негативная
"видео тормозят, публикуйте эксклюзивы на Ютубе,",Негативная
"Работает, видео показывает, к интерфейсу привыкаем...",Нейтральная
"Вылетает аккаунт,часто! Нет тйм кодов! Нет возможности отвечать в комментариях! Нет отрицательной реакции!",Негативная
Комментарии под видео надо проработать. Очень нравится что можно слушать в фоновом режиме ?. Трансляции каналов часто прерываются если смотреть с браузера.,Негативная
Просто полная .....,Негативная
Здравствуйте разработчики приложения классное не знаю почему то всем не нравится а мне нравится только добавьте там чтобы можно было лайкать и смотреть просмотр и тогдалий поставлю 4 звезды но преложение класс?????,Нейтральная
Как,Мусор
Просмотренный ролик не возможно смахнуть из шторки,Негативная
"Приложение хорошее, но в версии для телевизора (самсунг), в основном на телике смотрю, не хватает быстрой перемотки и воспроизведения с места последнего просмотра, добавить эти 2 функции и вообще шик ?? ну и количества просмотров не хватает но не критично ?",Нейтральная
"Просто нет слов, в очередной раз выкинуло из профиля, вы когда исправите? Обещали уже несколько раз, но воз и ныне там.... Всё через одно место...",Негативная
"после того как я сам прикоснулся к программированию, я никогда не оставляю плохие отзывы потому что знаю какого труда стоило разрабам это написать. приложение среднее, но как альтернатива ютубу, пойдет.",Нейтральная
"Я начинающий, создал свой канал где то в середине или в конце января, загружал видео около 132, набралось 5,000 просмотров, зашел в монетизацию а там требуют ИНН. У меня нет ИНН, так как я состою в группе инвалидности. Теперь я не знаю что делать?‍♂️",Нейтральная
Плохой поиск каналов если вести название канала точно до буквы бывает не находит,Негативная
"Картинка заедает, смотреть невозможно Отправил для вас запись экрана и оно было заблокировано, 1 звезда для вас много",Негативная
Ужасно,Негативная
"Нормально показывает Просьба сделать приложение для телевизора И , привязать телефон к акаунту надо через цифты позвонившего телефона, а он СКРЫТЫЙ ???",Негативная
"Очень много минусов. Например, нет просмотров ,лайков, дизлайков. Вместо лайков ""в топ"". Как мне понять, видео действительно полезное или нет?? А если будет создан канал-клон блогера?? Комментарии выглядят ужасно. И ещё было бы неплохо добавить к операторам связи безлимитный интернет на данное приложение, как к Ютуб, так и к остальным видеохостингам. А то Ютуб есть безлимитный, а тут нет. Интернет ведь кушает.",Негативная
Приложение хорошее,Позитивная
"Ребята, разработчики. Слезно вас просит все российское интернет сообщество. Сделайте, пожалуйста, количество просмотров. Сделайте, пожалуйста, сортировку по популярным комментариям. Сделайте, пожалуйста, ветки комментариев с ответами. Лайки дизлайки. Это же так просто, все будут довольны.",Негативная
Когда можно будет отвечать на комментарии других людей? И ставить лайки.,Нейтральная
"Ставлю 5, чтобы мотивировать разрабов. Надеюсь у вас есть идейные кодеры.",Позитивная
"Максимально кривое приложение с постоянными зависаниями, ошибками и вылетами. Не умеет запоминать место где окончен просмотр, а каждый раз проматывать это целое испытание.",Негативная
Тв 3 показывает что идут мультики,Нейтральная
"Как авторизация слетала так и слетает ничего не меняется, в общем ребята вам до YouTube как до звёзд, больше даже заморачиваться не буду удаляю это убогое приложение, чудаки вы на букву М.",Негативная
?,Мусор
"Самый главный недостаток это отсутствие чата на стримах в приложении,люди сидят на стриме,а писать не могут,нету чата и уходят,нет подробных сведений о видео,стриме",Негативная
Порадовала возможность прослушивать видео с заблокированным экраном) удобно если слушаешь интервью например или новсти от Лебедева),Позитивная
"В самых интересных для меня шоу закрыли доступ просит выключить впн, который не включен, в ленте много неинтересного контента причем он не уберается, сделайте настраиваемый контент или хотя бы схожий с просматриваемым роликом",Негативная
"Быстро стартует. Неудобно разворот экрана. Программа не понимает, если включён запрет поворота",Негативная
"Научитесь делать так, что не приходилось входит в аккаунт каждый день",Негативная
"Сделайте что нибудь, не возможно смотреть видео на андроид, постоянно картинка тормозит, а звук продолжается, и хочу смотреть вас но ни каких нервов не хватает это терпеть.",Негативная
"Когда же вы решите проблему с вылетами из аккаунта, у вас штат программистов совсем не хера не работает?",Негативная
Надо дарабатывать,Негативная
"Не возможно ничего найти. Знаете блогера ""Гоблина"" ? Чтобы найти его канал пришлось танцевать бубном посчаса. Не отображается число просмотров. Нет сортировки по популярным комментариям, нет даже веток комментариев. Это сервис 2013-го года. Продолжайте пилить гос бабки. Пока у вас есть возможность.",Негативная
"Я очень редко пишу комментарии, особенно к приложениям. Но хочу отметить, что за очень короткое время, рутуб очень сильно вырос. Есть недочёты, например не видно количество просмотров и количество лайков на комментариях, при просмотре информации под роликом он выключается. Но плюсы очень весомы, лично для меня, огромное спасибо что можно смотреть с выключенным экраном и через свернутое окошко! Есть интересные рекомендации. Вообщем есть над чем работать, но идете в верном направлении. Спасибо.",Позитивная
"А я на телевизор грешил, чуть топор в экран не воткнул, оказывается у многих из аккаунта вылетать",Негативная
"Площадка загажена мусором на 80%,обзоры игр с дебильными лицами и комментами, мало чего полезного. Нет возможности исключить из истории поиска, просмотра и хоть каким-либо образом отфильтровать. Невозможно заблокировать каналы с которых льётся этот мусор. Если хотите, чтобы ваши дети и вы смотрели весь этот мусор которые туда загружают можно без проблем устанавливать. Разработчики обратите внимание на то как можно исключить видео на Ютубе. Спустя пол года так ничего и не изменилось. Историю прос",Негативная
"Рутуб, сделайте уже партнёрку стасу ай, как просто, скачал ваше приложение и зарегался в ном только из-за него, а вы его не подключаете. Готов всё лаги терпеть только подключите ему партнёрку!!! Парень в топы попадает!",Негативная
"Подкупает то, что есть фоновое воспроизведение. Остальное, конечно, отстаёт... Количество просмотров, система рекомендаций, снизить по всем видео потребление трафика нельзя... Это грустно",Негативная
"Супер ?, минусов не нашлось",Позитивная
Можно новую версию,Нейтральная
Здравствуйте уважаемые разработчики приложение идеальное но когда я хотел его скачать я не сразу понял что это рутюб и пролистал так что лучше поменяйте аватарку похожую на ютюб. И ПОЖАЛУЙСТО ОБРАТИТЕ НА ЭТОТ ОДЗЫВ ВНИМАНИЕ.,Нейтральная
Если не можете создать и отладить свое - скопируйте! Абсолютно не удобное тормозное приложение,Негативная
"Скажите пожалуйста, почему не вырезаются из видео ""что будет дальше""? Зачем мне спойлеры , если я увижу это в процессе просмотра видео сразу же после этого. Тоже самое относится к тв-приложению",Негативная
"Приложение для телевизора невероятно забагованное, постоянно то тормозит, то вылетает, то пишет, что видео недоступно. Сделайте что-нибудь с этим, многие шоу, которые до этого смотрела на ютубе, переходят сюда и я бы рада посмотреть, но меня просто не пускает ваше приложение. Нет на главном экране вкладки ""Продолжить просмотр"", пока листаешь обратно к вылетевшему шоу, по пути опять таки вылетает несколько раз. Ютуб тоже не идеален, но он такого не вытворяет",Негативная
"Прикольно,теперь нарезки по чзо без остановки смотрю ??? ?..",Позитивная
"Разве я должен это делать? Вам бы развиваться, а вам лень. Вам даешь совет, в ответ давай мы как нибудь без тебя разберёмся. Включай автоповорот на устройстве. Бред.",Негативная
Все отлично ? Качайте рекомендую,Позитивная
Дебильное приложение. При регистрации даже не дает ввести присланный на почту код???,Негативная
"Для чего это приложение? Проще через браузер, в браузере хотябы отображается количество просмотров выложенного мной видео. В приложении можно только выложить видео и всё. Я об этом вам написал, что в браузере, через rutube.studio можно смотреть статистику, а через это приложение нельзя.",Негативная
"Зависает видио, звук идёт. На ютубе всё норм...",Негативная
Рутуб харош но когда што - то пишеш не всо выходит,Нейтральная
у меня всё работает и на Айфоне и на Андроиде,Позитивная
"Постоянные отвалы, изза которых приходится перезапускать видео - Сделайте переподключение с продолжением просмотра. Практически никогда не работает управление плеером с наушников. При отключении наушников видео не останавливается или само запускается. Пользоваться нормально невозможно. Добавьте настройку качества видео по умолчанию для WiFi и мобильного интернета",Негативная
"Разработчики внимание! Смотрел длинное видео - пропал сигнал связи. После восстановления сигнала часовое видео запускается с самого начала. Приходится проматывать до нужного момента. Сделайте так чтобы продолжать просмотр с того места, где видео остановилось.",Негативная
Скромная 4 потому что хочу чтобы проект развивался и улучшался. Пора бы уже отечественный продукт делать на уровне мировых,Позитивная
Ну сколько можно. Постоянно зависает видео или вылетает и пишет попробуйте снова. Вылетает из акаунта. При перемотке двойным кликом на десять секунд начинает думать. В ютубе таких проблем нет так что на интернет соеденение съехать не получится.,Негативная
"1. Перемотка по таймлайну невозможна, нужно обязательно зажимать тамб. Конфликтует с жестами. 2. Не может автоматически перезапустить видео в случае ошибки, нужно кнопку перезапуска нажимать. 3. После перезапуска из п.2 есть вероятность откатиться в самое начало просмотра. 4. Прогресс просмотра не ширится между телефоном и тв(webos). 5. При двойном тапе слева(-10с) происходит перебуферизация, увеличьте буфер! UX отвратителен, сами не пользуетесь? Исправите - поставлю 5.",Негативная
Увольте вы Дэнделаки... Все развалит вам.,Мусор
"Солько лет, столько денег уже влили, а так и осталось помойкой. Одни проблемы, плеер глючит и зависает картинка, не сохраняется просмотр на разных устройствах. Коменты уж лучше вообще удалить чем такие убогие. Лучше с ВПН лагать на Ютубе, чем в помойке на Рутубе.",Негативная
А что за экологичная среда?,Нейтральная
"Сканируешь qr code на тв, перекидывает в приложении меню и все.. Авторизоваться негде, че за бред!! Решение проблемы дали, но этот все равно неудобно, отправили мне на почту ссылку на подтверждение паролем, но вот самостоятельно в эту вкладку без ссылки попасть нельзя, я искал и не нашел, все равно ставлю 3 звезды за отсутствие возможности самостоятельно залогиниться в аккаунте rutube на тв и еще зависают видео выдовая ошибку))) ?? в каком мы году воще?))))",Негативная
"После долгого перерыва опять установил. Приятно, что всё по-прежнему, стабильно. СТАБИЛЬНО ВИСНЕТ!!! И оптовалокно и 4g. Это не приём виноват, это раздача такая! И не пишите про кешь, впн, устройство плохое, инопланитяне(хотя может быть). ВСЕ приложения работают, при этих же условиях.",Негативная
Мне нравиться это приложение,Позитивная
Отключил автовоспроизвидение !!! В моих подписках ролики все равно автовоспроизводятся !! Криворукие боты настройте приложение нормально,Негативная
"Не пользовался долгое время RUTUBE, а сейчас очень поднадоел ""янкитуб"", заглянул обратно на RUTUBE, попробовал и пока только радует: и быстротой работы, и оформлением, и удобством!!!",Позитивная
невозможно войти в аккаунт на телевизоре. просто непонятно где вводить код,Негативная
"Главное что нет вражеской пропаганды. Также есть удобства, которых нет в дурацком тытрубе, например воспроизведение в фоне и во всплывающем окне.",Позитивная
"Нет количества просмотров, нет персональных рекомендаций, нет лайков, нет нормальной секции комментариев. Вы говорите о том, что хотите создать равные условия для начинающих и уже популярных каналов, но как с этой политикой уживается кнопка ""в топ"", ведь в топе все равно будут появляться только популярные каналы? Персональных рекомендаций у вас нет, а потому начинающий канал никогда не появится у меня в списке. Например, Ютуб иногда выдает ролики с 2к просмотров которые могут мне понравится.",Негативная
"Дополню отзыв. Сейчас под пользователя подстраивается только верхний отдел, новое из подписок. Всё остальное - топ-5, сериалы, блогеры - собирает всякий мусор, не отвечающий моим интересам, истории просмотров, подпискам. И настроить это никак не удаётся. Ни скрыть, ни изменить. В итоге постоянное раздражение от того, что этот мусор лезет в мой экран, переносится на приложение в целом. Подкорректируйте этот момент, пожалуйста",Негативная
"Вылетает , тормозит , не грузит видео, и т.д. и т.п. , полный букет проблем. на smart tv сам черт ногу сломит, если захочешь найти , свои подписки.",Негативная
Все круто!!!! Ребята успехов вам!!!!,Позитивная
"запилите ответ на коментарии, и чтоб просмотры видно было.",Негативная
"Пустышка ваш рутуб, так еще и обмазаный ******. Зачем сделали столько не нужного. Такое ощущение что пытались сделать для пенсионеров, куча бреда,куча мусора что во вкладках главного так и в рекомендациях. Добавили непонятную систему лайков разделеные на 6 смайлов. Думаете у нас времени много, чтоб разбиратся куда вы напредумывали вставить основные функции. Зачем придумывать велосипед так еще и значительно сломаный. Мое ныне суждении, что ваше приложение не тенят даже 3/10 платформы ютуб.",Негативная
Еще не много и будет не хуже Ютуба,Нейтральная
когда-нибудь допилят,Нейтральная
Разобрался с подключением к тв смарт. Нужно было показаться в настройках. После ютюба не привычно все как то. Почему-то на ТВ нет возможности оценить ролик. Только на смартфоне.,Нейтральная
надеюсь будет норм площадка,Нейтральная
"Все работает хорошо, но раз в пару недель выходит из аккаунта. Так же хотелось бы иметь возможность сортировать комментарии по новым/популярным и иметь возможность ответить на коммент. И видеть количество просмотров :) Но это скорее вопрос к самому сервису а не приложению",Позитивная
"Бред , зависло видео приложение не давало выйти из него , зависло все даже телефон не выключился! При том что у меня самсунг s20 ultra",Негативная
"А вы можете сделать что бы шортс был как на ютубе ну это чтобы можно было листать шортс пж сделайте и ещё сделайте пожалуйста чтобы на плюсик нажать и там было создать шортс, видео, трансляцию пж сделайте прошу.И сделайте так чтобы можно было вставить обложку Для видео пж пж пж.",Нейтральная
"Ну слабый звук. В автобусе слабо звучит песня. Хотелось бы погромче. Вот в других приложениях звук на максимуме и можно самому понижать звук, а в вашем приложении звук и так на максимуме и уже не увеличить звук. Хотелось бы как в ЮТУБЕ. Стал просматривать Маску, ну невозможно смотреть : постоянно отсутствует соединение временами,",Негативная
"В целом все нормально, помню, что было 9 месяцев назад, сейчас как день и ночь. Но когда вы уже скопируете функционал с Ютуба?? Реально не хватает каких-то там мизерных вещей, к которому уже привык. Например количества пропущеных видео у блогеров, количество просмотров видео, количество лайков, нормальные комментарии, ответы на них и лайки, слетает время просмотра после случайного перехода на другое видео. Давайте ребята, мы в вас верим. Оценку потом поправлю ) последнее обновление 23.01.23....",Негативная
"Хороший видео хостинг. Но не хватает пару вещей: нет количества просмотров под видео, а так же нет диз лайков.",Нейтральная
"Спасибо, что отпугиваете аудиторию и авторов контента своими правилами",Негативная
"Пол дня проходил регистрацию. По десять раз писал, что я не робот. В микроскоп разглядывал контрольные слова.",Негативная
Всё хорошо.,Позитивная
постоянно вылетает,Негативная
"Последнее обновление порадовало, интерфейс стал приятнее и по шустрее и плавнее стала анимация. Но так и не понял как трансляцию включить с приложения на ТВ, или же она работает по другому протоколу в отличие от Youtube? В Youtube включаешь видео и там сразу значок есть трансляции на большой экран. У меня смарт ТВ с Web OS если что и на нем тоже Rutube установлен.",Позитивная
"Не возможно нормально пользоваться приложением, рекомендации не работают и кругом одна реклама",Негативная
"Нет количества просмотров, нет нормальной секции комментариев, нет рекомендаций, нет лайков. Зато есть обещания все добавить... Ну, обещанного три года ждут) Хотите потерять тех немногих популярных контентмейкеров, которые по воле судьбы перешли на ваш сервис? Флаг вам в руки",Негативная
"Просишь одно, всплывает чёрти что. Как так можно? Вы чем занимаетесь? Словов нетю, одни эмоции! Жуть!",Негативная
"Каждый месяц в приложении на телеке слетает авторизация, на мобильном несколько реже. При этом еще и подтверждать свою личность нужно не через смс на номер телефона или через приложение на мобильнике, а через какие-то кучугуры... Уважаемые разработчики, я искренне хочу испытать восторг от отечественнвх програмистов, но ""гостеприимство"" данного приложения и его ""дружелюбие"" по подбору контента, исходя из моих собственных предпочтений, или хотя бы подписок, оставляет желать лучшего...",Негативная
"Очень неудобно расположение телепрограмм. Очень крупный фон. Вы за что прид.... кам деньги платите за красоту фона? Платите мне, подскажу... ??",Негативная
"Хочу чтоб все мои близкие перешли в rutube ,все сделаю ,чтоб моё окружение быстрее перешли ,жду расширения",Нейтральная
"Ребят, сделайте плз счётчик просмотров... Лайки и дизлайки в конце концов... Ну подхватить вы всех блоггеров, кто уходит с западных платформ. Ну ё моё. Ну просто же скопировать надо пару функций и все будут счастливы. И аудитория у вас будет большая денег заработаете.. Спасибо что сделали тайм коды. В нужном направлении идёте, товарищи:) но очень уж хочется, чтобы быстрее))",Нейтральная
